34	62	114
34	64	114
33	63	114
34	63	115
49	55	117
50	56	119
49	56	117
49	55	119
117	54	74
118	53	75
116	53	74
117	53	73
89	22	93
89	23	92
89	23	93
90	24	93
39	12	58
38	11	58
38	12	57
39	11	57
79	52	23
79	53	22
80	53	23
80	52	21
109	94	37
110	93	38
109	95	37
110	95	39
108	64	25
108	65	24
108	65	24
108	65	25
33	59	123
33	58	122
34	59	122
34	58	122
44	71	38
45	71	37
44	70	37
44	72	36
36	47	104
36	46	104
36	46	105
35	46	105
67	7	39
66	6	40
66	7	38
67	6	38
84	49	91
84	48	89
83	49	90
85	49	89
126	67	59
126	67	57
126	65	59
125	66	58
27	19	35
28	19	35
27	20	35
28	19	36
12	79	87
13	80	86
12	80	87
13	79	87
107	79	68
108	79	67
107	78	67
107	79	68
108	86	72
109	87	73
108	88	72
108	88	73
117	84	75
116	85	74
117	85	73
116	84	73
55	106	101
54	106	100
55	105	100
55	105	101
73	43	75
72	43	76
73	42	76
73	44	76
56	124	60
56	124	60
56	123	59
56	123	60
103	29	65
103	28	65
104	29	64
104	30	65
41	13	75
39	15	74
40	15	75
40	15	74
35	78	59
34	78	59
35	79	58
35	78	58
48	8	68
49	7	68
48	8	67
49	9	68
46	88	58
47	89	57
47	87	56
46	87	57
117	77	68
117	76	68
118	76	69
117	77	70
20	99	91
20	98	92
19	98	91
20	97	90
13	81	72
13	80	71
13	80	70
13	79	70
48	23	13
48	23	14
49	23	13
48	23	13
44	72	118
43	71	118
44	71	117
44	71	118
35	106	91
34	106	91
35	105	92
35	106	92
53	73	84
53	74	83
53	74	84
54	74	84
46	28	23
46	29	24
45	28	24
46	28	24
63	14	104
63	16	103
63	15	103
63	15	104
30	47	15
31	47	13
31	46	14
31	45	13
37	43	64
37	44	65
38	44	64
37	45	64
31	12	38
30	12	39
30	11	39
30	11	37
30	47	61
31	48	60
31	48	61
32	47	61
74	25	93
74	25	93
74	25	93
76	25	93
86	30	23
86	28	23
87	29	25
86	28	24
110	102	67
110	100	65
109	100	66
110	101	66
29	35	23
29	36	23
28	35	22
28	35	24
38	91	15
39	90	16
39	91	15
38	91	16
47	82	111
